TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO,OBRA_PUBLICITARIA
A PRIMEIRA MISSA,A PRIMEIRA MISSA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,583,"2014, 2015",MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA,NÃO
EL HOMBRE QUE CUIDA,EL HOMBRE QUE CUIDA,ESFERA PRODUÇÕES CULTURAIS EIRELI,BRASIL,491,2019,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,SIM
GAROTAS,GAROTAS,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,980,2015,TOTAL,NÃO SE APLICA,SIM
SCREAMERS,SCREAMERS,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,723,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
10 CENTAVOS PARA O NÚMERO DA BESTA,10 CENTAVOS PARA O NÚMERO DA BESTA,PONTO DE EQUILIBRIO EVENTOS E IMAGEM EIRELI,BRASIL,76,2017,TOTAL,NÃO SE APLICA,SIM
10 CLOVERFIELD LANE,"RUA CLOVERFIELD, 10",PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,324587,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
10 HORAS PARA O NATAL,10 HORAS PARA O NATAL,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,31313,"2020, 2021",TOTAL,NÃO SE APLICA,NÃO
10 LIVES,UM GATO DE SORTE,SM DISTRIBUIDORA DE FILMES LTDA,REINO UNIDO,53319,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
10 SEGUNDOS PARA VENCER,10 SEGUNDOS PARA VENCER,WMIX DISTRIBUIDORA LTDA.,BRASIL,49147,2018,TOTAL,NÃO SE APLICA,NÃO
12 DE JUNHO DE 1993 ¿ O DIA PAIXÃO PALMEIRENSE,12 DE JUNHO DE 1993 ¿ O DIA PAIXÃO PALMEIRENSE,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1236,2014,TOTAL,NÃO SE APLICA,NÃO
12 STRONG,12 HERÓIS,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,30930,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
12 YEARS A SLAVE,12 ANOS DE ESCRAVIDÃO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,504800,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
120 BATTEMENTS PAR MINUTE,120 BATIMENTOS POR MINUTO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,16957,"2017, 2018, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
13 EXORCISMOS,13 EXORCISMOS,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESPANHA,117782,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
13 HOURS,13 HORAS: OS SOLDADOS SECRETOS DE BENGHAZI,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,72437,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
13 SENTIMENTOS,13 SENTIMENTOS,VITRINE FILMES LTDA,BRASIL,6829,2024,TOTAL,NÃO SE APLICA,SIM
18 COMIDAS,18 COMIDAS,ESFERA PRODUÇÕES CULTURAIS EIRELI,ESPANHA,1657,"2014, 2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
180º,180º,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,9,2014,TOTAL,NÃO SE APLICA,SIM
1917,1917,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,1230035,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
1945,1945,OMF SERVICOS & CONSULTORIA LTDA,HUNGRIA,16976,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
1976 - O ANO DA INVASÃO CORINTHIANA,1976 - O ANO DA INVASÃO CORINTHIANA,CONEXÃO CULTURAL SERVIÇOS LTDA,BRASIL,5938,2016,TOTAL,NÃO SE APLICA,NÃO
1982 (NINETEEN EIGHTY TWO),1982,ESCARLATE CONTEÚDO AUDIOVISUAL E EXPERIENCIAS CRIATIVAS LTDA - ME,FRANÇA,3532,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
1999 - A CONQUISTA DA AMÉRICA,1999 - A CONQUISTA DA AMÉRICA,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1122,2022,TOTAL,NÃO SE APLICA,SIM
2,2,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,46,2020,TOTAL,NÃO SE APLICA,SIM
20 DNIV U MARIUPOLI,20 DIAS EM MARIUPOL,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,UCRÂNIA,2324,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
"20,000 DAYS ON EARTH",NICK CAVE - 20.000 DIAS NA TERRA,ZETA FILMES LTDA,REINO UNIDO,4231,"2015, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
20.000 ESPECIES DE ABEJAS,20.000 ESPÉCIES DE ABELHAS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ESPANHA,3254,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
2001 : A SPACE ODYSSEY,2001 : UMA ODISSÉIA NO ESPAÇO,F. J. CINES LTDA,REINO UNIDO,1433,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
2001 : A SPACE ODYSSEY,2001 : UMA ODISSÉIA NO ESPAÇO,WARNER BROS. (SOUTH) INC.,REINO UNIDO,2848,"2020, 2023, 2024",NÃO SE APLICA,NÃO SE APLICA,SIM
2046,2046 - OS SEGREDOS DO AMOR,CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE,CHINA,120,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
20TH CENTURY WOMEN,MULHERES DO SÉCULO 20,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,13195,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
21 BRIDGES,CRIME SEM SAÍDA,GALERIA DISTRIBUIDORA AUDIOVISUAL LTDA,ESTADOS UNIDOS,266085,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
22 JUMP STREET,ANJOS DA LEI 2,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,465905,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
24 HOURS TO LIVE,UM DIA PARA VIVER,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,19811,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
2:22,2:22 - ENCONTRO MARCADO,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,AUSTRÁLIA,30662,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
3 COEURS,3 CORAÇÕES,MARES FILMES EIRELI,FRANÇA,22029,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
3 DAYS TO KILL,3 DIAS PARA MATAR,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,20954,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
300: RISE OF AN EMPIRE,300: A ASCENSÃO DO IMPÉRIO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,2937972,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
32 MALASAÑA STREET,O 3º ANDAR,SM DISTRIBUIDORA DE FILMES LTDA,ESPANHA,205623,"2020, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
3X3D,3X3D,MOSTRA INTERNACIONAL DE CINEMA LTDA,FRANÇA,2497,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
45 DIAS SEM VOCÊ,45 DIAS SEM VOCÊ,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,3293,2019,TOTAL,NÃO SE APLICA,SIM
45 DO SEGUNDO TEMPO,45 DO SEGUNDO TEMPO,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,27285,2022,TOTAL,NÃO SE APLICA,NÃO
45 YEARS,45 ANOS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,REINO UNIDO,39843,"2015, 2016, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
47 METERS DOWN,MEDO PROFUNDO,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,52716,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
47 METERS DOWN: UNCAGED,MEDO PROFUNDO - O SEGUNDO ATAQUE,SM DISTRIBUIDORA DE FILMES LTDA,REINO UNIDO,154056,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
47 RONIN,47 RONINS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,543519,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
5 CASAS,5 CASAS,LANCA DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,918,"2022, 2023",MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA,SIM
5 FLIGHTS UP,RUTH & ALEX,MARES FILMES EIRELI,ESTADOS UNIDOS,21847,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
6 BELOW: MIRACLE ON THE MOUNTAIN,O PODER E O IMPOSSÍVEL,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,17236,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
65,65 AMEAÇA PRÉ-HISTÓRICA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,238812,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
7 CAJAS,7 CAIXAS,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,PARAGUAI,11301,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
7 DAYS IN HAVANA,7 DIAS EM LA HAVANA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ESPANHA,1630,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
7 PRISIONEIROS,7 PRISIONEIROS,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,729,"2021, 2022",MAJORITÁRIA,NÃO SE APLICA,SIM
7500,VOO 7500,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,46634,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
7TH DWARF,AS AVENTURAS DOS SETE ANÕES,SM DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,43670,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
82 MINUTOS,82 MINUTOS,COMUNICAÇÃO ALTERNATIVA LTDA,BRASIL,158,2016,TOTAL,NÃO SE APLICA,SIM
8½,8 ½,F. J. CINES LTDA,FRANÇA,3244,"2016, 2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
97 MINUTES,97 MINUTOS,CINECOLOR DO BRASIL LTDA,ESTADOS UNIDOS,4419,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
A ALEGRIA É A PROVA DOS NOVE,A ALEGRIA É A PROVA DOS NOVE,MERCURIO PRODUCOES LTDA,BRASIL,389,2024,TOTAL,NÃO SE APLICA,SIM
A ALMA QUER VOAR,A ALMA QUER VOAR,RETRATO FILMES LTDA,BRASIL,93,2023,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,SIM
A ARTE URBANA,A ARTE URBANA,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,51,2022,TOTAL,NÃO SE APLICA,SIM
A BAD MOMS CHRISTMAS,PERFEITA É A MÃE 2,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,38920,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
A BALADA DO PROVISÓRIO,A BALADA DO PROVISÓRIO,MARIA GORDA PRODUCOES ARTISTICAS LTDA,BRASIL,20,2014,TOTAL,NÃO SE APLICA,SIM
A BATALHA DE SHANGRI-LÁ,A BATALHA DE SHANGRI-LÁ,MORO COMUNICACAO LTDA,BRASIL,142,2022,TOTAL,NÃO SE APLICA,SIM
A BATALHA DO PASSINHO,A BATALHA DO PASSINHO,ARTE VITAL EXIBIÇÕES CINEMATOGRÁFICAS LTDA,BRASIL,41,2014,TOTAL,NÃO SE APLICA,SIM
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,UM LINDO DIA NA VIZINHANÇA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,36247,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
A BELA AMÉRICA,A BELA AMÉRICA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PORTUGAL,323,2023,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA,SIM
A BOY CALLED PO,PO,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1533,"2018, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
A BRUTA FLOR DO QUERER,A BRUTA FLOR DO QUERER,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,2903,2016,TOTAL,NÃO SE APLICA,SIM
A CABEÇA DE GUMERCINDO SARAIVA,A CABEÇA DE GUMERCINDO SARAIVA,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,5158,"2018, 2019, 2022",TOTAL,NÃO SE APLICA,NÃO
A CASA DE CECÍLIA,A CASA DE CECÍLIA,CLARISSA APPELT BAPTISTA SAN ROMAN,BRASIL,126,2015,TOTAL,NÃO SE APLICA,SIM
A CASA ELÉTRICA,A CASA ELÉTRICA,PANDA FILMES LTDA,BRASIL,321,2014,TOTAL,NÃO SE APLICA,NÃO
A CIAMBRA,CIGANOS DA CIAMBRA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,7710,2018,TOTAL,NÃO SE APLICA,SIM
A CIDADE DO FUTURO,A CIDADE DO FUTURO,VITRINE FILMES LTDA,BRASIL,11786,2018,TOTAL,NÃO SE APLICA,SIM
